Time,Final Consumption 
1986 Q1,9.1
1986 Q2,9.6
1986 Q3,11
1986 Q4,10.4
1987 Q1,10.1
1987 Q2,10.5
1987 Q3,10.7
1987 Q4,11
1988 Q1,10.3
1988 Q2,11.3
1988 Q3,12.2
1988 Q4,14.4
1989 Q1,18.4
1989 Q2,20.1
1989 Q3,21.8
1989 Q4,22.4
1990 Q1,23
1990 Q2,23.5
1990 Q3,23.3
1990 Q4,23.8
1991 Q1,25.5
1991 Q2,25.4
1991 Q3,25
1991 Q4,24.5
1992 Q1,22.8
1992 Q2,20.9
1992 Q3,18.8
1992 Q4,16
1993 Q1,10.6
1993 Q2,9.3
1993 Q3,8.3
1993 Q4,8
1994 Q1,7.3
1994 Q2,6
1994 Q3,5.9
1994 Q4,6.6
1995 Q1,11.5
1995 Q2,14.5
1995 Q3,14.8
1995 Q4,13.4
1996 Q1,10.8
1996 Q2,7.6
1996 Q3,3.3
1996 Q4,4.9
1997 Q1,3.8
1997 Q2,5.3
1997 Q3,8.5
1997 Q4,7
1998 Q1,7.9
1998 Q2,7.8
1998 Q3,7.9
1998 Q4,7.4
1999 Q1,10.7
1999 Q2,5.5
1999 Q3,2.6
1999 Q4,1.1
2000 Q1,-15.4
2000 Q2,1.9
2000 Q3,12.6
2000 Q4,16.5
2001 Q1,28.9
2001 Q2,13.4
2001 Q3,7.1
2001 Q4,4.8
2002 Q1,8.7
2002 Q2,4.8
2002 Q3,2.1
2002 Q4,1.8
2003 Q1,1.9
2003 Q2,3.2
2003 Q3,4.1
2003 Q4,5.3
2004 Q1,6.8
2004 Q2,7.7
2004 Q3,7.8
2004 Q4,8
2005 Q1,6
2005 Q2,4.3
2005 Q3,5.6
2005 Q4,4.9
2006 Q1,6.9
2006 Q2,9.2
2006 Q3,9.7
2006 Q4,12.1
2007 Q1,13.9
2007 Q2,16.6
2007 Q3,16.9
2007 Q4,14.4
2008 Q1,11.2
2008 Q2,7.3
2008 Q3,5.1
2008 Q4,3.8
2009 Q1,8.2
2009 Q2,10.5
2009 Q3,11.7
2009 Q4,13
2010 Q1,9
2010 Q2,8.4
2010 Q3,7.5
2010 Q4,7.2
2011 Q1,6.8
2011 Q2,4.8
2011 Q3,4.3
2011 Q4,5.2
2012 Q1,4.1
2012 Q2,7
2012 Q3,8.5
2012 Q4,16.5
2013 Q1,15.2
2013 Q2,13.1
2013 Q3,15.6
2013 Q4,7
2014 Q1,11.8
2014 Q2,14.1
2014 Q3,12.5
2014 Q4,13.9
2015 Q1,12.9
2015 Q2,12
2015 Q3,10.8
2015 Q4,9.6
2016 Q1,9.3
2016 Q2,8.4
2016 Q3,7.3
2016 Q4,6.6
2017 Q1,5.3
2017 Q2,4.4
2017 Q3,4.7
2017 Q4,5.2
2018 Q1,5.5
2018 Q2,5.9
2018 Q3,5.2
2018 Q4,4.1
2019 Q1,3.3
2019 Q2,2.7
2019 Q3,2
2019 Q4,2.3
2020 Q1,3.5
2020 Q2,0.7
2020 Q3,0.8
2020 Q4,3.1
2021 Q1,3.1
2021 Q2,5.7
2021 Q3,7.4
2021 Q4,7
2022 Q1,7.5
2022 Q2,11.9
2022 Q3,12.9
2022 Q4,14.5
2023 Q1,13.2
2023 Q2,10.7
2023 Q3,9.1
2023 Q4,7.7
2024 Q1,7.8
2024 Q2,7.3
2024 Q3,7.2
2024 Q4,6.1
2025 Q1,8.8
2025 Q2,8.8